File Name,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,Mean Spectral Brightness,Mean Spectral Roughness,Mean Spectral Entropy,Rolloff,RMS Energy,LowEnergy,ZCR,Spectral Centroid,Spectral Flux,Spectral Flatness,Harmonic Ratio,Spectral Skewness,Chroma1,Chroma2,Chroma3,Chroma4,Chroma5,Chroma6,Chroma7,Chroma8,Chroma9,Chroma10,Chroma11,Chroma12,bpm,Sub-Band-Flux1,Sub-Band-Flux2,Sub-Band-Flux3,Sub-Band-Flux4,Sub-Band-Flux5,Sub-Band-Flux6,Sub-Band-Flux7,Sub-Band-Flux8,Sub-Band-Flux9,Sub-Band-Flux10
09.wav,1.802028,0.201037,0.830752,0.327735,0.199219,0.205375,-0.043956,0.165121,0.385380,0.303592,-0.097158,0.057520,0.049356,0.519252,1049.902853,0.788044,5632.278442,0.070950,0.7288141489.482759,2408.628409,112.078519,0.120333,0.448295,1.814431,0.216390,0.319374,0.313034,0.267238,0.310927,0.231948,0.195175,0.490837,1.000000,0.494232,0.314688,0.347703,189.402683,3.419815,2.975024,3.369603,2.057804,1.218382,1.712123,1.781707,13.932845,7.134300,7.806622,24.945247
27.wav,1.447532,0.575238,0.677588,0.290237,0.266988,0.165549,0.143291,0.018033,-0.357316,-0.304027,-0.096276,0.407060,0.434378,0.532359,1280.696874,0.785826,10418.032837,0.063516,0.4745762087.758621,4818.710355,124.358734,0.119466,0.468939,0.578845,1.000000,0.412952,0.342373,0.500824,0.562504,0.350106,0.277178,0.725784,0.504481,0.353422,0.422843,0.414899,147.119724,1.585675,4.494449,7.994568,12.502426,13.553036,43.635960,31.826288,48.490843,34.522199,14.782566,2.516496
84.wav,1.569499,0.763483,0.720913,0.337044,0.256972,0.020730,0.177712,0.166775,0.214549,0.059774,0.012780,0.018387,-0.065259,0.418079,685.216652,0.752385,11347.998047,0.069661,0.457627874.827586,4713.905334,99.355374,0.146045,0.445200,0.920101,0.471399,0.808730,0.632731,1.000000,0.620006,0.567075,0.447410,0.490591,0.824290,0.844488,0.669359,0.705927,188.190418,38.880169,7.848616,6.231969,47.547925,70.526050,93.073146,84.672957,41.140328,43.187480,52.985579,21.915626
66.wav,1.177968,0.573032,0.432186,0.531518,0.026341,0.167446,0.278881,0.217674,0.117184,-0.114805,-0.004413,0.103893,0.138621,0.571193,1705.871704,0.842987,10695.609283,0.068496,0.5084751477.241379,4797.545716,129.244402,0.203046,0.475787,0.795942,0.435870,0.495446,0.474055,0.721971,0.867507,0.703958,0.448966,1.000000,0.910493,0.820807,0.650627,0.787045,113.884820,38.618440,34.625077,52.684635,27.791498,25.893140,23.981008,38.999195,19.891767,11.957124,26.412234,16.174237
60.wav,3.176306,0.114257,0.218316,0.445130,0.175595,-0.146045,-0.059402,0.058085,0.217600,0.041576,-0.092118,0.155139,0.177658,0.201696,1340.573006,0.680015,4944.225311,0.069952,0.559322493.103448,2199.204961,96.991160,0.068705,0.397187,2.147790,0.117190,0.198989,0.186858,0.272256,0.667419,0.220210,0.728456,0.558626,1.000000,0.217322,0.126697,0.404918,176.058071,8.288427,3.084530,2.420712,1.538195,3.750691,5.252344,4.663375,4.318323,3.595905,2.965303,3.673145
55.wav,3.048788,-0.805975,0.032388,0.121280,0.456953,0.276272,0.083188,-0.215621,-0.258730,0.060412,0.321256,0.276192,0.114369,0.191095,814.384641,0.657901,2524.095154,0.068181,0.525424237.586207,1508.417993,105.696010,0.060328,0.408556,3.149081,0.898387,0.428673,0.543919,1.000000,0.271074,0.191632,0.168774,0.317193,0.372349,0.278471,0.516514,0.398051,148.582703,16.284159,18.878770,19.659111,30.008751,34.698571,15.062803,14.155490,13.396385,15.744501,12.221882,7.899019
79.wav,2.070093,0.766616,0.568885,0.306998,0.209286,0.076076,0.044177,-0.015661,0.015572,-0.075234,-0.029722,-0.003666,-0.191345,0.440818,1060.335319,0.793039,9805.345917,0.071176,0.576271874.655172,3933.350628,124.617567,0.154360,0.440153,1.087142,0.548217,0.680448,1.000000,0.304090,0.260620,0.585992,0.355516,0.589143,0.257091,0.641869,0.340244,0.407093,103.025554,58.932610,42.831992,19.561387,26.163725,18.723216,14.360450,102.071630,80.946471,39.423254,15.481705,1.070745
56.wav,1.857066,0.019878,0.595368,0.325961,0.093087,0.011029,0.056810,0.075553,0.230165,0.239177,0.253424,0.121146,0.081968,0.476325,756.576971,0.797806,9818.131256,0.064360,0.4915251361.724138,3792.676800,128.202729,0.139440,0.460652,1.211991,0.530605,0.656753,0.706350,0.672998,0.517493,0.551663,0.629751,0.900236,0.959104,0.826709,1.000000,0.519769,123.810613,19.385715,14.625647,2.439144,2.176507,0.790161,19.633244,84.323993,37.538079,40.448111,56.966636,47.376411
01.wav,1.039780,0.225029,-0.134541,-0.165338,-0.118493,-0.116505,-0.212267,-0.365043,-0.729496,-0.430808,-0.358049,-0.053696,0.321767,0.815512,3980.116110,0.823633,11827.111816,0.062387,0.6101694079.655172,7302.296327,121.315285,0.173461,0.379240,-0.025597,0.906713,0.565077,0.542191,0.429849,0.299089,0.329545,0.319255,0.524336,0.453517,0.461314,0.704977,1.000000,109.921804,0.071301,0.055079,0.077153,1.686761,1.332270,0.837602,0.454328,0.278401,4.887462,6.796181,6.548962
85.wav,1.196784,0.153758,0.255000,0.028849,-0.180561,0.554967,0.548697,0.374137,-0.194475,-0.444318,0.139032,0.306898,0.011947,0.547769,708.619324,0.787374,9682.202911,0.068716,0.4576271713.448276,4407.852764,100.596001,0.124956,0.393391,1.029262,0.199591,0.285542,1.000000,0.121424,0.186632,0.076676,0.161769,0.120127,0.189584,0.789626,0.250509,0.351195,183.413368,5.321607,5.557082,5.854703,2.029787,19.787196,12.227596,24.478736,5.853219,7.929553,13.294082,4.107126
